actual_price,discount,name,price_without_discount,rating,specification,total_ratings
"₹10,999",18% off,"Nokia C 30 (Green, 64 GB)","₹,13,499",3.7,"4 GB RAM | 64 GB ROM,17.32 cm (6.82 inch) HD+ Display,13MP + 2MP Dual Rear Camera | 5MP Front Camera | 5MP Front Camera,6000 mAh Li-Polymer Battery,Spreadtrum SC9863A Processor,1 year manufacturer warranty for device and battery and 6 months manufacturer warranty for in-box accessories from the date of purchase",224 Ratings 
"₹13,599",20% off,"Nokia G21 (Nordic Blue, 128 GB)","₹,16,999",4.1,"6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5050 mAh Lithium Polymer Battery,Unisoc T606 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase",732 Ratings 
"₹13,599",20% off,"Nokia G21 (Dusk, 128 GB)","₹,16,999",4.1,"6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5050 mAh Lithium Polymer Battery,Unisoc T606 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase",732 Ratings 
"₹4,495",15% off,Nokia 8210 4G,"₹,5,298",4,"4 MB RAM | 128 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,1450 mAh Battery,1 Year Manufacturer Replacement Warranty",306 Ratings 
"₹3,849",27% off,Nokia 8210 4G DS,"₹,5,290",4.2,"0.046875 GB RAM | 0.125 GB ROM,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1450 mAh Battery,Single Core Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase",34 Ratings 
"₹10,499",25% off,"Nokia G11 Plus (Grey, 64 GB)","₹,13,999",4,"4 GB RAM | 64 GB ROM,16.55 cm (6.517 inch) HD+ Display,50MP + 2MP | 8MP + 2MP Dual Front Camera,5000 mAh Lithium Polymer Battery,Octa Core Processor Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase",44 Ratings 
"₹17,600",,"Nokia 6.1 Plus (Blue, 64 GB)",,4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,14.73 cm (5.8 inch) Full HD+ Display,16MP + 5MP | 16MP Front Camera,3060 mAh Battery,Qualcomm Snapdragon 636 Octacore Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","2,12,559 Ratings "
"₹7,800",,"Nokia Lumia 520 (Black, 8 GB)",,4.2,"512 MB RAM | 8 GB ROM | Expandable Upto 64 GB,10.16 cm (4 inch) WVGA Display,5MP Rear Camera,1430 mAh Battery,Qualcomm Snapdragon S4 Processor,1 Year for Mobile & 6 Months for Accessories","22,341 Ratings "
"₹4,899",16% off,Nokia 2660 DS 4G Flip,"₹,5,899",4,"128 MB RAM | 48 MB ROM,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,1450 mAh Battery,1 YEAR",895 Ratings 
"₹3,349",25% off,Nokia 6310,"₹,4,499",3.9,"8 MB RAM | 16 MB ROM,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1150 mAh Lithium Ion Battery,Unisoc 6531F Processor,1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-box Accessories Including Battery from the Date of Purchase","2,276 Ratings "
"₹10,999",34% off,"Nokia 5.4 (Polar Night, 64 GB)","₹,16,799",3.9,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.23 cm (6.39 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 16MP Front Camera,4000 mAh Li-ion Battery,Qualcomm Snapdragon 662 Processor,1 Year Manufacturer Warranty for Device and Battery and 6 Months Manufacturer Warranty for In-Box Accessories from the Date of Purchase","3,736 Ratings "
"₹4,849",25% off,Nokia 5710 XA DS,"₹,6,499",4.1,"0.046875 GB RAM | 0.125 GB ROM,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,1450 mAh Lithium Ion Battery,Unisoc UMS9117-N Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase",15 Ratings 
"₹4,399",16% off,Nokia 8210 4G,"₹,5,299",4,"4 MB RAM | 128 MB ROM,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,1450 mAh Battery,1 Year Manufacturer Replacement Warranty",306 Ratings 
"₹4,098",22% off,Nokia 8210 4G,"₹,5,299",4,"4 MB RAM | 128 MB ROM,7.11 cm (2.8 inch) Display,0.3MP Rear Camera,1450 mAh Battery,1 Year Manufacturer Replacement Warranty",306 Ratings 
"₹1,820",13% off,Nokia 110 DS,"₹,2,099",4,"4 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,1MP Rear Camera,800 mAh Battery,1 YEAR",562 Ratings 
"₹1,379",18% off,Nokia 105 PLUS,"₹,1,699",4.1,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,1000 mAh Lithium Ion Battery,MTK6261D Processor,1 Year Manufacturer Warranty For Device And 6 Months Manufacturer Warranty For In-Box Accessories Including Battery From The Date Of Purchase","7,464 Ratings "
"₹10,499",25% off,"Nokia G11 Plus (Blue, 64 GB)","₹,13,999",4,"4 GB RAM | 64 GB ROM,16.55 cm (6.517 inch) HD+ Display,50MP + 2MP | 8MP + 2MP Dual Front Camera,5000 mAh Lithium Polymer Battery,Octa Core Processor Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase",44 Ratings 
"₹1,534",26% off,Nokia 110,"₹,2,099",4.3,"4 MB RAM | 4 MB ROM,4.5 cm (1.77 inch) Quarter QVGA Display,0.08MP Rear Camera,800 mAh Lithium Ion Battery,Unisoc 6531E Processor,1 Year Manufacturer Warranty For Device and 6 Months Manufacturer Warranty For in-box Accessories Including Battery From The Date of Purchase",27 Ratings 
"₹2,770",,Nokia 150/150 DS,,3.7,"4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1020 mAh Battery,1 Year",112 Ratings 
"₹7,999",,Nokia Asha 302,,3,cm Display,5 Ratings 
"₹1,399",,Nokia 100,,4.2,"8 MB ROM,4.57 cm (1.8 inch) QVGA Display,800 mAh Li-Ion Battery,1 Year for Mobile & 6 Months for Accessories",938 Ratings 
"₹7,800",,"Nokia 2.3 (Sand, 32 GB)",,4,"2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek Helio A22 Processor,1 Year Warranty on Phone","1,765 Ratings "
"₹2,967",,Nokia C2-00,,,cm Display,
"₹9,599",,"Nokia 2.2 (Steel, 32 GB)",,4,"3 GB RAM | 32 GB ROM | Expandable Upto 400 GB,14.5 cm (5.71 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,MediaTek Helio A22 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories","3,624 Ratings "
"₹6,990",,"Nokia 2.1 (Blue&Copper, 8 GB)",,4,"1 GB RAM | 8 GB ROM,13.97 cm (5.5 inch) Display,8MP Rear Camera,4000 mAh Battery,1 Year Warranty","5,152 Ratings "
"₹2,149",,Nokia 108 Dual SIM,,4.2,"4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) QVGA Display,0.3MP Rear Camera,950 mAh Battery","8,289 Ratings "
"₹4,819",,Nokia 5130,,3,"cm Display,1 Year Manufacturer Warranty",4 Ratings 
"₹1,599",,"Nokia 105 DS (Blue, 4 MB)",,4.2,"4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,800 mAh Battery,1 Year On Handset, 6 Months On Accessories","18,127 Ratings "
"₹1,199",,Nokia 105,,4.3,"4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,800 mAh3 Battery,12 Months","16,578 Ratings "
"₹2,149",,Nokia 108 Dual SIM,,4.2,"4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) QVGA Display,0.3MP Rear Camera,950 mAh Battery,1 Year Manufacturer Warranty","8,289 Ratings "
"₹8,999",18% off,"Nokia C20 Plus Smartphone (Dark Grey, 32 GB)","₹,11,099",3.8,"3 GB RAM | 32 GB ROM,16.51 cm (6.5 inch) HD+ Display,8MP + 2MP | 5MP Front Camera,5000 mAh Li-ion Battery,Unisoc SC9863A Processor,1 year replacement guarantee,Jio Exclusive up to 10% price support. Jio customers can also get additional benefits worth ?4000,V-notch screen,LED flash,expandable up to 128GB,up to 2-days battery life with a 5000 mAh battery,Android 11 Go Edition with 2 years of quarterly security updates,1 Year Manufacturer Warranty For Device and Battery and 6 Months Manufacturer Warranty for In-box Accessories From the Date of Purchase",165 Ratings 
